requirement_id,category,requirement_text
AOA-ADM-001,LOCKED INVARIANT,This document is self-contained. A compliant implementation or reviewer must not need an earlier architecture document to determine intended subsystem behaviour.
AOA-ADM-002,LOCKED INVARIANT,"Earlier architecture documents are historical only after ratification. When they conflict with this document, this document controls."
AOA-ADM-003,LOCKED INTERFACE,Current codebase compliance is recorded in separate dated reports that cite requirement IDs. Implementation status is never embedded in this permanent architecture.
AOA-ADM-004,LOCKED INVARIANT,Requirement IDs are never reused for a different meaning. Removed requirements remain reserved and are marked deprecated in later revisions.
AOA-ADM-005,LOCKED INVARIANT,An implementation limitation remains a limitation. It must not become a new architectural rule unless this document is explicitly revised.
AOA-ADM-006,LOCKED INVARIANT,"A type, field, counter, diagnostic, test fixture, or interface declaration does not by itself satisfy a capability. Required mechanisms must participate causally through production paths."
AOA-ADM-007,LOCKED INVARIANT,"Current languages, engines, libraries, processor placement, GPU layouts, brain-size classes, constants, adapters, and test fixtures are implementation mechanisms unless this document explicitly locks their semantics."
AOA-GOAL-001,LOCKED GOAL,"Develop artificial animals capable of increasingly general lifelong learning, grounded prediction, memory, concept formation, social learning, planning, communication, and transfer."
AOA-GOAL-002,LOCKED GOAL,"Maximize behavioural capability per unit of neural compute, memory, latency, biochemical work, teacher/SLM cost, and simulated energy."
AOA-GOAL-003,LOCKED GOAL,"Preserve evolvability: the organism must remain capable of useful genetic, developmental, biochemical, neural, and cultural adaptation rather than becoming one frozen engineered policy."
AOA-GOAL-004,LOCKED GOAL,"Remain a fun, legible persistent simulation game built around individual creatures, relationships, communities, teaching, breeding, culture, ecology, and visible behavioural change."
AOA-GOAL-005,LOCKED GOAL,"Use biologically inspired mechanisms when they improve intelligence, efficiency, robustness, evolvability, individuality, or game value; biological resemblance is never an end in itself."
AOA-GOAL-006,LOCKED GOAL,"Support extraction, enlargement, transplantation, and reuse of mature cognitive cores in other games, software environments, and embodied robots."
AOA-GOAL-007,LOCKED GOAL,"Keep the architecture inspectable and falsifiable so that apparent intelligence can be attributed to the creature rather than hidden host code, teachers, SLMs, or benchmark leakage."
AOA-INV-001,LOCKED INVARIANT,"All creature cognition is grounded in causal world, body, biochemical, memory, social, and teacher interactions. No privileged semantic truth may silently enter the brain."
AOA-INV-002,LOCKED INVARIANT,"The world reports physical and transactional facts, not reward, desirability, task success, or what the creature ought to do."
AOA-INV-003,LOCKED INVARIANT,Every mutable fact has one authoritative owner. Other representations are explicitly derived views and cannot advance independently.
AOA-INV-004,LOCKED INVARIANT,"Genetics/development, body/physiology, biochemistry, and brain/cognitive memory are separate mechanisms with explicit interfaces and no duplicated ownership."
AOA-INV-005,LOCKED INVARIANT,"Computation and storage are bounded by explicit phenotype, world, or platform budgets. Unbounded all-pairs search, unbounded graph growth, and unbounded external-model calls are prohibited."
AOA-INV-006,LOCKED INVARIANT,"No hidden host policy may choose creature actions, fabricate learning credit, inject concepts or memories, or solve semantic tasks outside the creature."
AOA-INV-007,LOCKED INVARIANT,"Personal episodic memories, individual semantic propositions, current activations, current chemistry, pending eligibility, and autobiographical identity are not inherited biologically."
AOA-INV-008,LOCKED INVARIANT,Teacher and semantic-prior services may accelerate learning but may not substitute for the creature brain. Competence must be separately measurable with each service removed.
AOA-INV-009,LOCKED INVARIANT,"The ordinary game, training/evaluation hosts, school system, and research scenarios must use the same semantic causal organism step. Reduced evaluators may exist only when explicitly labelled and may not certify full-organism capabilities."
AOA-INV-010,LOCKED INVARIANT,"Failure must be explicit. Missing assets, incompatible schemas, invalid causal transactions, and partial multi-system commits may not silently fall back to plausible defaults."
AOA-INV-011,LOCKED INVARIANT,"Brain, body, biochemistry, world, memory, persistence, lifecycle, and presentation must describe the same individual organism and causal sequence."
AOA-INV-012,LOCKED INVARIANT,"Architectural success is behavioural and causal, not ornamental. A biological mechanism that adds cost without measurable capability, robustness, game value, or evolvability must be replaceable or removable."
AOA-AUTH-001,LOCKED INTERFACE,"The canonical organism record binds organism identity to its genome/development state, body, biochemistry, brain ownership, memories, lifecycle, persistence dependencies, and presentation identity."
AOA-AUTH-002,LOCKED INVARIANT,A subsystem may cache another subsystem's state only as a versioned read-only view tied to a causal tick or transaction ID.
AOA-AUTH-003,LOCKED INVARIANT,"No evaluator, UI, teacher, trainer, or adapter may maintain an independently advancing copy of canonical body, biochemical, developmental, neural, or memory state."
AOA-AUTH-004,LOCKED INTERFACE,"Every action/outcome cycle has a stable organism ID, causal sequence ID, pre-action state reference, decision reference, measured joint outcome, and commit status."
AOA-AUTH-005,LOCKED INVARIANT,A transaction touching several authoritative systems either commits all required state transitions or rolls back all of them.
AOA-TIME-001,LOCKED INVARIANT,"Causal sequence order is explicit and deterministic for identical initial state, inputs, configuration, and randomness seeds."
AOA-TIME-002,LOCKED INVARIANT,"Neural, biochemical, metabolic, ecological, developmental, reproductive, and presentation cadences are not forced to one universal tick rate."
AOA-TIME-003,LOCKED INTERFACE,Each derived view records the authoritative tick or interval from which it was derived. Stale views are rejected when semantic freshness matters.
AOA-TIME-004,LOCKED INVARIANT,"Catch-up processing is bounded. Large time jumps use capped substeps, analytically equivalent integration, or explicit approximation receipts rather than unbounded loops."
AOA-TIME-005,LOCKED CAPABILITY,"The simulation supports accelerated time while preserving births, deaths, learning, chemical dynamics, sleep, culture, and ecology within declared fidelity limits."
AOA-TIME-006,REFERENCE MECHANISM,"High-bandwidth neural updates normally run on the GPU; sparse irregular memory, concept, structural proposal, persistence, teacher, and world operations normally run on the CPU or service best suited to them. Placement is determined by measured efficiency, not authority ideology."
AOA-WORLD-001,LOCKED INTERFACE,"World sensing exposes grounded observables: geometry, motion, material/chemical cues, sound, light, contact, temperature, object persistence, social signals, and other physically or socially instantiated properties."
AOA-WORLD-002,LOCKED INVARIANT,"The world may expose that an effector can contact, grip, ingest, emit sound, or apply force. It may not expose that an entity is food, an enemy, a tool, desirable, dangerous, or the correct task target unless that information is itself communicated through a grounded world channel."
AOA-WORLD-003,LOCKED INTERFACE,"World action execution returns a measured joint physical outcome for the complete factorized motor bundle, including contacts, transfers, movement, damage, energy/material exchange, and failures."
AOA-WORLD-004,LOCKED CAPABILITY,"Ecologies support resource scarcity, niches, hazards, social interaction, construction or manipulation, reproduction, and persistent environmental consequences sufficient for selection and culture."
AOA-WORLD-005,LOCKED INVARIANT,"Natural selection operates through survival, reproduction, resource access, and ecological consequence. The runtime brain is not trained by a hidden world fitness scalar."
AOA-WORLD-006,REFERENCE MECHANISM,"Environmental complexity is introduced progressively so that founders can survive, but later worlds vary enough to prevent one fixed engineered policy from dominating all niches."
AOA-BODY-001,LOCKED INVARIANT,"Body and physiology own physical morphology, tissue and organ state, energy reserves, injury, temperature, proprioception, actuator limits, and viability."
AOA-BODY-002,LOCKED INVARIANT,"The body never stores reward, learned value, concepts, intentions, or semantic action preferences."
AOA-BODY-003,LOCKED CAPABILITY,"Organisms may differ genetically and developmentally in size, morphology, sensors, effectors, metabolism, resilience, lifespan, fertility, and physiological trade-offs."
AOA-BODY-004,LOCKED CAPABILITY,Local organ or tissue dysfunction may alter behaviour and survival without immediately collapsing every other subsystem.
AOA-BODY-005,LOCKED INTERFACE,"Body events report physical facts such as tissue damage, nutrient intake, material transfer, temperature change, force, displacement, social contact, and actuator effort."
AOA-BODY-006,LOCKED INVARIANT,"A body event never contains a field whose semantics are equivalent to reward, punishment, task success, or preferred action."
AOA-BODY-007,LOCKED CAPABILITY,"Simple withdrawal, balance, actuator protection, and life-preserving reflexes may bypass deliberative cognition, but their stimuli and outcomes remain available to the brain for learning."
AOA-BODY-008,LOCKED INVARIANT,A reflex may prevent catastrophic harm; it may not silently solve a semantic or strategic task that the creature is expected to learn.
AOA-BODY-009,REFERENCE MECHANISM,"Physiology is represented as typed organs and tissues with local cadence, energetic cost, damage, repair, and exposed loci, rather than one undifferentiated health scalar."
AOA-BODY-010,TUNABLE DEFAULT,Initial founder bodies use a manageable early-animal or early-mammal reference morphology; the architecture does not lock one species body plan.
AOA-GEN-001,LOCKED INVARIANT,"The genome contains only heritable construction, development, mutation, recombination, and prior-reference information. It does not contain current acquired state."
AOA-GEN-002,LOCKED CAPABILITY,"The genome can alter body, organ, biochemical, neural, developmental, reproductive, temperament, plasticity, and learning characteristics."
AOA-GEN-003,LOCKED INTERFACE,"The genome expresses separate body, biochemical, neural, and embodiment phenotypes. Shared traits may influence several phenotypes only through explicit compiler rules."
AOA-GEN-004,LOCKED INVARIANT,Biochemical parameters are not duplicated as independently authoritative brain constants. Neural receptor genes may refer to biochemical species or receptor classes without transferring ownership of chemistry into the brain genome.
AOA-GEN-005,LOCKED CAPABILITY,"Ordinary reproduction supports diploid or otherwise explicitly modelled recombination, mutation, dominance/codominance where used, lineage provenance, and compatibility checks."
AOA-GEN-006,LOCKED CAPABILITY,"Structural genetic variation may alter region allocation, create or suppress derived-region alleles, change biochemical graph topology, and change developmental timing within viability bounds."
AOA-GEN-007,LOCKED INVARIANT,"A child receives new organism, brain, neuron, synapse, memory, and runtime identities. Parent runtime IDs are never inherited literally."
AOA-GEN-008,LOCKED INVARIANT,Genetic and germline prior dependencies are content-addressed and versioned. Fragile filesystem paths and silent fallback assets are prohibited.
AOA-GEN-009,LOCKED CAPABILITY,Genetic complexity and inherited neural information are measurable so evolution and breed design can trade innate structure against lifetime learning.
AOA-GEN-010,REFERENCE MECHANISM,"The compact genome stores region floors and shares, connectivity-generator parameters, receptor profiles, plasticity parameters, developmental schedules, biochemical graph genes, mutation policy, and germline-prior manifests."
AOA-DEV-001,LOCKED CAPABILITY,"Development supports staged growth from newborn through mature life, including body growth, organ maturation, biochemical expression, neural growth, critical periods, puberty, senescence, and other species-specific stages."
AOA-DEV-002,LOCKED INTERFACE,"Development receives authoritative biological age, genotype, current body and biochemical context, and previous developmental state; it outputs due expression and growth operations."
AOA-DEV-003,LOCKED INVARIANT,World time and biological age are distinct. A newborn created late in world history begins at biological age zero unless a specific reproductive mechanism says otherwise.
AOA-DEV-004,LOCKED INVARIANT,"Biochemical signals may gate or modulate development, but biochemistry does not directly rewrite cognitive policy. It triggers genetically defined developmental responses."
AOA-DEV-005,LOCKED CAPABILITY,Natural developmental brain growth and deliberate mature-brain augmentation use the same function-preserving graph-migration substrate with different policies.
AOA-DEV-006,LOCKED CAPABILITY,"Critical periods may alter plasticity, structural growth, receptor expression, teacher responsiveness, or region recruitment without making mature learning impossible by default."
AOA-DEV-007,LOCKED INVARIANT,"Developmental operations that change graph topology occur at explicit transaction boundaries with checkpoint, provenance, and rollback support."
AOA-DEV-008,REFERENCE MECHANISM,Developmental regions are generated by compact regional and connectivity programs rather than by storing every neuron and synapse in the genome.
AOA-PRIOR-001,LOCKED INTERFACE,"A germline prior manifest names exact regional blocks, bridge blocks, schemas, compatibility families, source provenance, sanitization receipts, and inherited-information cost."
AOA-PRIOR-002,LOCKED INVARIANT,Germline prior blocks are immutable and content-addressed. A new breed revision creates new blocks or a new manifest; it never mutates an existing published block in place.
AOA-PRIOR-003,LOCKED INVARIANT,"A germline prior is a sanitized newborn-compatible template, not a saved adult checkpoint with a memory table removed."
AOA-PRIOR-004,LOCKED CAPABILITY,Prior blocks are region-addressable and may be recombined or selected independently when compatibility and bridge requirements are satisfied.
AOA-PRIOR-005,LOCKED CAPABILITY,Bridge blocks or deterministic developmental bridge rules describe cross-region priors without requiring one monolithic whole-brain asset.
AOA-PRIOR-006,LOCKED INVARIANT,"Personal episodes, named individuals, exact locations, private conversations, current body schema, current chemistry, current activation, pending eligibility, and unresolved action credit are excluded from germline priors."
AOA-PRIOR-007,LOCKED CAPABILITY,"Generic reusable representations and skills may be inherited after sanitization: object persistence, containment, affordance structure, generic navigation, manipulation priors, social prediction, and language-grounding priors."
AOA-PRIOR-008,LOCKED INVARIANT,Missing or incompatible germline assets cause explicit construction failure or an explicitly requested migration path. Silent substitution is prohibited.
AOA-BIO-001,LOCKED INVARIANT,"Biochemistry owns chemical concentrations, reaction state, receptor/emitter state, endocrine regulation, metabolic intermediates, and biochemical developmental signals."
AOA-BIO-002,LOCKED INVARIANT,"Biochemistry does not own final neural threshold, attention, salience, motor confidence, learning-rate, planning, or action policy values. It supplies signals; neural receptor phenotypes determine cognitive effects."
AOA-BIO-003,LOCKED CAPABILITY,"The biochemical phenotype contains a bounded sparse active set of chemical species with per-species baseline, decay, range, type, and compartment information."
AOA-BIO-004,TUNABLE DEFAULT,"The address space may support up to 256 species for compatibility and experimentation, while each phenotype instantiates a smaller active subset such as 32-64 species unless its budget permits more."
AOA-BIO-005,LOCKED CAPABILITY,"The biochemical phenotype supports sparse reactions with bounded reactants, products, stoichiometry, rates, compartments, and optional rate-control loci."
