requirement_ids,grade,status,evidence,remaining_debt
"AOA-BRAIN-001;AOA-BRAIN-003;AOA-REG-001..005",CAUSAL,COMPLIANT,"crates/alife_core/src/lobe.rs;crates/alife_core/src/phenotype/layout_compile.rs","Capability validation not run"
"AOA-MIG-002..005",CAUSAL,PARTIAL,"crates/alife_core/src/migration_v2.rs;crates/alife_world/src/persistence.rs","Arbitrary learned checkpoints require a source-bound remap asset and fail closed without it"
"AOA-BIO-024;AOA-BIO-027..028;AOA-LEARN-002;AOA-LEARN-005..010",CAUSAL,COMPLIANT,"crates/alife_core/src/learning.rs;crates/alife_gpu_backend/src/closed_loop_learning.rs;crates/alife_gpu_backend/shaders/closed_loop_plasticity.wgsl","Learning capability not run"
"AOA-BIO-019;AOA-BIO-021..023;AOA-BRAIN-005;AOA-ATT-002..004",CAUSAL,COMPLIANT,"crates/alife_core/src/neural_receptors.rs;crates/alife_gpu_backend/src/closed_loop_memory.rs;crates/alife_gpu_backend/shaders/closed_loop_encode.wgsl;crates/alife_gpu_backend/shaders/closed_loop_recurrent.wgsl","Hardware behaviour and capability not run"
"AOA-GEN-001..006;AOA-GEN-010;AOA-BIO-001..016;AOA-EVO-001",CAUSAL,PARTIAL,"crates/alife_core/src/evolutionary_genetics.rs;crates/alife_core/src/biochemical_graph.rs;crates/alife_core/src/biochemistry.rs","De novo topology rewiring and derived viability operators incomplete"
"AOA-INV-003;AOA-INV-011;AOA-AUTH-001..005;AOA-CTX-001..003",CAUSAL,COMPLIANT,"crates/alife_world/src/organism.rs;crates/alife_game_app/src/gpu_live_runtime.rs","Full biology and embodiment state plus exact GPU checkpoint state are content-digested; device-side incremental digest remains an efficiency improvement"
"AOA-BODY-001..010",CAUSAL,PARTIAL,"crates/alife_core/src/biochemistry.rs","Rich tissue anatomy and broad morphology capability incomplete"
"AOA-EMB-001..006",CAUSAL,PARTIAL,"crates/alife_core/src/embodiment.rs;crates/alife_world/src/headless.rs;crates/alife_world/src/organism.rs","Body-derived ports causally modulate sensing and motor execution; novel-transplant reacquisition is not implemented or validated"
"AOA-INV-010;AOA-PERSIST-002..004;AOA-MIG-001..007",CAUSAL,PARTIAL,"crates/alife_core/src/migration_v2.rs;crates/alife_world/src/persistence.rs;crates/alife_world/src/persistence/gpu_brain.rs","Source data absent from old saves requires external provenance and fails explicitly"
"AOA-INV-006;AOA-INV-008;AOA-TEACH-001..005;AOA-LEARN-010",CAUSAL,COMPLIANT,"crates/alife_school/src/teacher.rs;crates/alife_school/src/runner.rs;crates/alife_world/src/headless.rs;crates/alife_game_app/src/school_mode.rs","Raw teacher mutation is private and actor output enters ordinary world sensing; teacher capability validation not run"
"AOA-TEACH-002;AOA-TEACH-006..008;AOA-GRADE-004..005",STRUCTURAL,NOT_VALIDATED,"crates/alife_school/src/teacher.rs;docs/architecture/ALife_v2.0_Compliance_2026-08-24.md","Adaptive planning depth provenance cost audit and teacher-off behaviour not validated"
"AOA-INV-002;AOA-WORLD-003;AOA-BODY-002;AOA-BODY-005..006;AOA-BIO-024..026",CAUSAL,PARTIAL,"crates/alife_world/src/headless.rs;crates/alife_game_app/src/gpu_live_runtime.rs","Reduced legacy evidence schemas retain a non-certifying compatibility reward field"
"AOA-INV-003;AOA-INV-007;AOA-INV-010..011;AOA-AUTH-001..005;AOA-PERSIST-001..004",CAUSAL,COMPLIANT,"crates/alife_game_app/src/production_voxel_frontend.rs","Frontend population resizing and organism synthesis removed; architecture-valid Phase 3 launch saves remain required"
"AOA-GRADE-001..003;AOA-GRADE-007..010",STRUCTURAL,COMPLIANT,"docs/architecture/ALife_v2.0_Compliance_2026-08-24.md","No capability or scaling claims made"
